"application_type";"IND_num";"studyID"
"IND";"IND127176";"B-8521"
"IND";"IND127176";"B-8522"
"IND";"IND127279";"20158582"
"IND";"IND127291";"2293-004"
"IND";"IND127301";"2955-001"
"IND";"IND127301";"2955-002"
"IND";"IND127313";"8362179"
"IND";"IND127313";"8362180"
"IND";"IND127343";"1365-18010"
"IND";"IND127343";"1365-18032"
"IND";"IND127343";"1365-18033"
"IND";"IND127343";"1365-18074"
"IND";"IND127343";"1365-18075"
"IND";"IND127347";"BRT_18_007NG_TN"
"IND";"IND127360";"QN32FY"
"IND";"IND127360";"SR12DQ"
"IND";"IND127360";"XC42TR"
"IND";"IND127367";"8001389"
"IND";"IND127367";"8001663"
"IND";"IND127367";"8001664"
"IND";"IND127367";"8001669"
"IND";"IND127367";"8001702"
"IND";"IND127380";"5003062"
"IND";"IND127380";"5003250"
"IND";"IND127443";"20127712"
"IND";"IND127471";"1086005"
"IND";"IND127775";"1462-18141"
"IND";"IND127775";"2712-002"
"IND";"IND127775";"2712-002B"
"IND";"IND127775";"2712-002C"
"IND";"IND127775";"2712-003"
"IND";"IND127866";"GH37HJ"
"IND";"IND127894";"LV28WB"
"IND";"IND127894";"QP85WS"
"IND";"IND127905";"2250-009"
"IND";"IND127905";"2250-010"
"IND";"IND127934";"20295889"
"IND";"IND127938";"18-206-G"
"IND";"IND127938";"G21031"
"IND";"IND127938";"P17-2090-00B"
"IND";"IND127938";"VLL0421GS001"
"IND";"IND127981";"8347619"
"IND";"IND127981";"8347620"
"IND";"IND128010";"20232396"
"IND";"IND128081";"2698-003"
"IND";"IND128133";"74176B"
"IND";"IND128134";"3365-001"
"IND";"IND128159";"8377638"
"IND";"IND128159";"8424688"
"IND";"IND128219";"1779033"
"IND";"IND128219";"1779034"
"IND";"IND128269";"2625-005"
"IND";"IND128269";"2625-006"
"IND";"IND128269";"2625-010"
"IND";"IND128315";"2357-002"
"IND";"IND128329";"20113423"
"IND";"IND128331";"8001827"
"IND";"IND128336";"13615.07.03"
